Name;Letterboxd URI;Id;IMDB Id
Under the Skin;https://boxd.it/3mDa;80198;tt1441395
Searching;https://boxd.it/hDPg;420467;tt7668870
Knight of Cups;https://boxd.it/34Qq;73361;tt2101383
The Great Beauty;https://boxd.it/5ty6;130523;tt2358891
Upstream Color;https://boxd.it/4Cwc;110138;tt2084989
Full Time;https://boxd.it/vqs2;748985;tt13269580
The Sisters Brothers;https://boxd.it/fDFm;372740;tt4971344
The Tree of Life;https://boxd.it/1Zu8;47468;tt0478304
Asako I & II;https://boxd.it/hyNk;418533;tt7112154
The Wind Rises;https://boxd.it/4JQS;112957;tt2013293
Jojo Rabbit;https://boxd.it/iEBG;444600;tt2584384
Perfect Blue;https://boxd.it/1W7A;46175;tt0156887
Return to Seoul;https://boxd.it/zXDg;857071;tt19719836
After Yang;https://boxd.it/lx5a;513206;tt8633464
Smiley Face;https://boxd.it/1QG0;44082;tt0780608
Suzume;https://boxd.it/yv7Y;822281;tt16428256
Yi Yi;https://boxd.it/1vCw;35988;tt0244316
Carrie;https://boxd.it/20ZQ;48049;tt0074285
The Beasts;https://boxd.it/w1L6;763326;tt15006566
The Straight Story;https://boxd.it/2ass;51686;tt0166896
The Five Devils;https://boxd.it/uVsA;737072;tt13391708
Spencer;https://boxd.it/qPMG;639559;tt12536294
The City of Lost Children;https://boxd.it/29k8;51250;tt0112682
When Marnie Was There;https://boxd.it/78pm;170062;tt3398268
The Thing;https://boxd.it/294O;51155;tt0084787
Don't Breathe;https://boxd.it/9yzw;227785;tt4160708
Badlands;https://boxd.it/25Fm;49844;tt0069762
The Notebook;https://boxd.it/1UNE;45667;tt0332280
